Bug ID,Title / Summary,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Attatchments,Status,comments,
1,"after creating a Purchase Request (PR) from the Dashboard and filling in all required data, the final page displays three buttons — Delete, Edit, and Export PDF — that are not functioning when clicked","1- open the system
2- go to dashboard
3- from quick actions click on Create PR
4- Fill all required data
5- try to click on delete/edit or export PD","Edit: Should redirect to the PR edit page with existing data pre-filled.

Delete: Should display a delete confirmation, then remove the PR and return to the list view.

Export PDF: Should trigger a PDF download containing the PR details.","Buttons are unresponsive, nothing happens on click.",Medium,Medium,,,,
2,Download button not working after creating PO,"1- go to dashboard
2- click on create PO 
3- fill the required data
4- Once the PO is successfully created, click the Download button ",Clicking the Download button should trigger the file download (PDF or Excel) containing PO details,"Nothing happens when clicking the Download button (no response, no download).",Medium,Medium,,,,
3,Settings page in Dashboard returns 404 error,"1- go to dashboard
2- click on settings","The Settings page should open normally, displaying configuration options",The system displays a 404 page,High,High,,,,
4,Date field becomes empty when editing a Requisition,"1-Go to Requisitions
2-create Requisition
3- edit Requisition","The Date field should display the saved date value (e.g., 2025-11-10) when opening the edit form",The Date field appears blank (empty) instead of showing the previously saved date.,Medium,Low,,,,
5,Failed to update purchase requisition,"1-Go to Requisitions
2-create Requisition
3- edit Requisition
4- save changes",The system should successfully update the Requisition,The system shows alert message Failed to update purchase requisition ,Medium,Medium,,,,
6,Export button not working on Purchase Requisitions page/ also export to pdf from pr details,"1-Go to Requisitions
2- try to export requisitions","Clicking Export should trigger a file download ( Excel, CSV, or PDF) containing the list of Purchase Requisitions.","Nothing happens — no download starts, and no feedback message is displayed",Low,Medium,,,This button didn't work in other pages (Purchase Orders/Goods Receipts/Invoices/Payment Workbench/Reports/KPIs),
7,"""View All Responses"" in RFQ Actions returns 404 Not Found","1- Go to RFQ page 
2- select RFQ
3- click on View All Responses",The system should open a page displaying all supplier responses linked to the selected RFQ,The system redirects to a 404 page,Medium,Low,,,,
8,Export” button opens Print page instead of exporting in Goods Receipt__,"1- go to good Receipts
2- select one good Receipts
3- click on export and print ","Export should trigger a file download ( PDF, Excel, or CSV) containing the Goods Receipt data.",The Export button opens the Print page/view instead of downloading a file,Medium,Medium,,,,
9,Quick Actions” (View PO Details / Generate Report) not working on Goods Receipt page,"1- go to good Receipts
2- select one good Receipts
3- click on one of quick actions","View PO Details: should navigate to the related Purchase Order details page

Generate Report: should generate and download a report (PDF/Excel) for the selected Goods Receipt",Nothing happens when clicking either option,Medium,Medium,,,,
10,“Download” button opens Print page instead of exporting in Invoice Details,"1- go to invoices
2- select invoice
3- click on download button","Clicking Download should export or download the invoice file (e.g., PDF, Excel).","The system opens the Print preview page, as if the user clicked Print",Medium,High,,,,
