id,scenario,role,module,feature,steps,expected,status,comments
UAT-001,N/A,All Users,Authentication,Login,"1. Navigate to login page
2. Enter valid email
3. Enter valid password
4. Click Login button","1. User authenticated successfully
2. Redirected to dashboard
3. JWT token generated and stored
4. User information displayed correctly",,
UAT-003,N/A,All Users,Authentication,Role-Based Access,"1. Login with different roles (ADMIN, PMO, PJM, FIN, PROC, ENG, SITE, QAQC, LEGAL, HR, IT, DIR)
2. Observe navigation menu options
3. Attempt to access restricted pages","1. Menu items display based on role permissions
2. Restricted pages show 403 Forbidden
",,
UAT-004,1-A,PMO/ADMIN,EPS Management,Create EPS,"1. Go to 'EPS Management'
2. Click 'Create New EPS'
3. Fill in data (name, description)
4. Choose desired level (1-5)
5. Select parent if applicable (not for Level 1)
6. Click Create EPS","1. New EPS created successfully
2. Level 1 EPS has no parent
3. Other levels linked to chosen parent
4. EPS appears in EPS list",,
UAT-005,1-B,PMO/ADMIN,EPS Management,Edit EPS,"1. Go to 'EPS Management'
2. Find desired EPS
3. Click edit icon
4. Update data (name, description, etc.)
5. Click Save Changes","1. EPS data updated successfully
2. Success message displayed
3. Changes reflected in EPS list",,
UAT-006,1-C,All Users,EPS Management,View EPS Tree,"1. Go to 'EPS Tree View'
2. View initial tree structure
3. Expand nodes interactively
4. Navigate through parent-child relationships","1. Tree-like structure displays parent-child EPS relationships
2. Nodes expand/collapse correctly
3. All EPS levels visible in hierarchy",,
UAT-007,1 (Extended),PMO/ADMIN,EPS Management,Delete EPS,"1. Open EPS Management Page
2. Select EPS with no children
3. Click delete icon
4. Confirm deletion","1. EPS deleted successfully
2. Removed from EPS list and tree",,
UAT-008,2-A,PMO/ADMIN,Portfolio Management,Create Portfolio,"1. Go to 'Portfolio Overview'
2. Click 'Create Portfolio'
3. Fill in portfolio data (name, description, strategic objectives, tags)
4. Click Create Portfolio","1. New portfolio created successfully
2. Portfolio listed in Portfolio Overview
3. Strategic framework established
4. Budget capacity defined",,
UAT-009,2-B,PMO/ADMIN,Portfolio Management,Edit Portfolio,"1. Go to 'Portfolio Overview'
2. Find desired Portfolio
3. Click edit icon
4. Update portfolio data
5. Click Save Changes","1. Portfolio details updated successfully
2. Changes reflected in portfolio list
3. Success message displayed",,
UAT-010,2-C,PMO/Portfolio Manager,Portfolio Management,Portfolio KPI Dashboard,"1. Go to 'Digital Transformation 2025' details page
2. View stats panel (projects progress, budget, SPI, CPI, health index)
3. Select project within portfolio
4. Click view icon to navigate to project details","1. Dashboard displays real-time KPIs
2. Project progress, budget, SPI, CPI, health index shown
3. User navigated to project details page
4. Real-time data aggregated correctly",,
UAT-011,2,PMO/ADMIN,Portfolio Management,Delete Portfolio,"1. Go to Portfolio Overview
2. Select portfolio
3. Click delete
4. Confirm deletion",1. Portfolio deleted successfully,,
